name,address,description,interest
Interest,0,"4,893.98","39,151.80"
Debit Card,0,"5,593.11","33,558.69"
Reversal,0,"8,389.67","25,169.02"
Reversal,343.29,0,"25,512.31"
RTGS,0,"4,252.05","21,260.26"
Miscellaneous,"1,103.00",0,"22,363.26"
Tax,361.96,0,"22,725.22"
Interest,"31,760.78",0,"54,486.00"
Tax,"12,340.20",0,"66,826.20"
Reversal,"4,060.41",0,"70,886.61"
Cash,0,"35,443.31","35,443.30"
ATM,0,"5,907.22","29,536.08"
Transfer,"12,770.01",0,"42,306.09"
ATM,"2,349.65",0,"44,655.74"
Interest,329.6,0,"44,985.34"
IMPS,0,"22,492.67","22,492.67"
ATM,"25,794.30",0,"48,286.97"
Cheque,483,0,"48,769.97"
Miscellaneous,0,"48,769.97",0
Tax,"1,110.00",0,"1,110.00"
Bill,0,158.57,951.43
Miscellaneous,0,118.93,832.5
Bill,0,832.5,0
Debit Card,"32,042.47",0,"32,042.47"
Bill,0,"8,010.62","24,031.85"
Cash,49.32,0,"24,081.17"
Cash,"2,38,015.00",0,"2,62,096.17"
NEFT,0,"87,365.39","1,74,730.78"
ATM,0,"1,74,730.78",0
RTGS,306,0,306
Transfer,"2,118.30",0,"2,424.30"
Reversal,"19,870.30",0,"22,294.60"
Cash,0,"4,458.92","17,835.68"
Transfer,"19,98,357.50",0,"20,16,193.18"
ATM,"17,063.58",0,"20,33,256.76"
Cash,0,"5,08,314.19","15,24,942.57"
Reversal,0,"1,90,617.82","13,34,324.75"
RTGS,0,"4,44,774.92","8,89,549.83"
Reversal,62.55,0,"8,89,612.38"
Bill,0,"1,77,922.48","7,11,689.90"
IMPS,0,"88,961.24","6,22,728.66"
ATM,"7,240.70",0,"6,29,969.36"
Reversal,0,"69,996.60","5,59,972.76"
Interest,0,"79,996.11","4,79,976.65"
Cheque,0.4,0,"4,79,977.05"
Miscellaneous,0,"2,39,988.53","2,39,988.52"
IMPS,0,"39,998.09","1,99,990.43"
Cash,0,"66,663.48","1,33,326.95"
Cash,0,"33,331.74","99,995.21"
RTGS,"18,195.02",0,"1,18,190.23"
NEFT,"25,126.77",0,"1,43,317.00"
Transfer,"1,429.21",0,"1,44,746.21"
IMPS,"2,030.70",0,"1,46,776.91"
Transfer,0,"18,347.11","1,28,429.80"
Miscellaneous,0,"18,347.11","1,10,082.69"
Reversal,"3,090.70",0,"1,13,173.39"
Reversal,25,0,"1,13,198.39"
Tax,"6,103.37",0,"1,19,301.76"
RTGS,"12,421.40",0,"1,31,723.16"
IMPS,21.13,0,"1,31,744.29"
Bill,59.5,0,"1,31,803.79"
Cheque,45.91,0,"1,31,849.70"
IMPS,"17,65,658.00",0,"18,97,507.70"
Interest,"5,97,100.00",0,"24,94,607.70"
NEFT,0,"8,31,535.90","16,63,071.80"
Interest,0,"2,77,178.63","13,85,893.17"
Commission,0,"1,38,589.32","12,47,303.85"
Debit Card,0,"2,07,883.98","10,39,419.88"
Cheque,218,0,"10,39,637.88"
Interest,0,"10,39,637.88",0
RTGS,0.6,0,0.6
Miscellaneous,"4,40,802.00",0,"4,40,802.60"
IMPS,"2,935.62",0,"4,43,738.22"
Cheque,4.1,0,"4,43,742.32"
Reversal,"29,184.60",0,"4,72,926.92"
Cheque,"16,97,037.00",0,"21,69,963.92"
Transfer,0,"5,42,490.98","16,27,472.94"
Cheque,45,0,"16,27,517.94"
Bill,0,"3,25,503.59","13,02,014.35"
Tax,0,"6,51,007.18","6,51,007.18"
Debit Card,"1,77,368.47",0,"8,28,375.65"
Debit Card,0,"82,837.57","7,45,538.08"
Cash,0,"7,45,538.08",0
Commission,113,0,113
Debit Card,"37,934.84",0,"38,047.84"
Debit Card,"28,479.00",0,"66,526.84"
Cheque,0,"13,305.37","53,221.47"
Purchase,0,"26,610.74","26,610.74"
Reversal,0,"6,652.69","19,958.06"
Commission,19,0,"19,977.06"
Purchase,0,"3,995.41","15,981.65"
Bill,2.3,0,"15,983.95"
IMPS,0,"1,997.99","13,985.96"
Cash,0,"4,661.99","9,323.97"
Tax,0,"1,554.00","7,769.98"
Debit Card,2.3,0,"7,772.28"
Transfer,0,"3,886.14","3,886.14"
Cheque,0,971.54,"2,914.60"
Purchase,0,728.65,"2,185.95"
Commission,"2,13,317.90",0,"2,15,503.85"
Interest,0,"71,834.62","1,43,669.23"
RTGS,"51,040.06",0,"1,94,709.29"
IMPS,0,"24,338.66","1,70,370.63"
Purchase,"31,938.91",0,"2,02,309.54"
RTGS,0,"22,478.84","1,79,830.70"
ATM,0,"25,690.10","1,54,140.60"
Cheque,0,"77,070.30","77,070.30"
Miscellaneous,0,"8,563.37","68,506.93"
Interest,0,"6,850.69","61,656.24"
