name,address,account,description,interest
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars (millions)
2019,Level 1,99999,All industries,Dollars
2019,Level 1,99999,All industries,Dollars
2019,Level 1,99999,All industries,Percentage
2019,Level 1,99999,All industries,Percentage
2019,Level 1,99999,All industries,Percentage
2019,Level 1,99999,All industries,Percentage
2019,Level 1,99999,All industries,Percentage
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars (millions)
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Dollars
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage
2019,Level 1,AA,"Agriculture, Forestry and Fishing",Percentage
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars
2019,Level 3,AA11,Horticulture and Fruit Growing,Dollars
2019,Level 3,AA11,Horticulture and Fruit Growing,Percentage
2019,Level 3,AA11,Horticulture and Fruit Growing,Percentage
2019,Level 3,AA11,Horticulture and Fruit Growing,Percentage
2019,Level 3,AA11,Horticulture and Fruit Growing,Percentage
2019,Level 3,AA11,Horticulture and Fruit Growing,Percentage
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
